Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Banda ancha fija,Dial up,Total,Accesos por cada 100 hogares
2020,2,Corrientes,72,527,34242,22845,25844,7898,22418,5020,118863,3,118866,40.3
2020,2,Entre Ríos,130,3679,66758,50640,42090,12856,43391,14569,234100,13,234113,56.54
2020,2,Formosa,391,151,23534,7109,6998,961,7475,1313,47932,0,47932,31.14
2020,2,Jujuy,55,182,30548,10519,26829,209,9417,16557,94316,0,94316,47.89
2020,2,La Pampa,293,810,71218,7531,3800,1657,3377,1123,89693,116,89809,76.1
2020,2,La Rioja,21,1,37375,5661,4686,73,4336,2,52152,3,52155,49.84
2020,2,Mendoza,58,40,142253,12439,35274,3248,5422,2450,200569,615,201184,36.25
2020,2,Misiones,71,524,39867,23719,26445,12305,28763,8646,140340,0,140340,40.89
2020,2,Neuquén,218,327,61171,6103,6625,5296,46432,0,125799,373,126172,63.9
2020,2,Río Negro,114,466,70817,3335,7498,3246,26953,17057,128985,501,129486,56.37
2020,2,Salta,129,514,41801,64463,16989,7741,39594,6531,177760,2,177762,51.58
2020,2,San Juan,48,194,59113,917,4908,40,127,4430,69521,256,69777,35.09
2020,2,San Luis,105,0,11439,3585,1934,60889,8,35992,113804,148,113952,78.41
2020,2,Santa Cruz,66,0,26938,4166,6541,546,119,493,38672,197,38869,35.79
2020,2,Santa Fe,568,2061,213054,198772,96575,57236,189473,20193,777795,137,777932,70.0
2020,2,Santiago Del Estero,133,1779,32557,57709,5178,247,3328,4516,105446,1,105447,43.47
2020,2,Tierra Del Fuego,11,0,22325,5186,3034,391,796,7446,38900,289,39189,76.37
2020,2,Tucumán,52,97,49028,54537,34184,2246,74377,2635,217134,22,217156,51.78
2020,1,Buenos Aires,38215,36802,1122034,236421,247977,205780,1802583,28935,3702985,5066,3718747,64.33
2020,1,Capital Federal,264,312,169651,102254,89665,85899,906009,0,1352104,1390,1354054,105.98
2020,1,Catamarca,63,0,8838,7543,9558,408,10299,2151,39634,1,38860,37.62
2020,1,Chaco,308,928,23291,19976,29851,10416,28539,6917,120274,3,120226,37.48
2020,1,Chubut,158,109,69586,12957,7756,1240,614,4500,95938,800,96920,51.27
2020,1,Córdoba,142,5128,217229,120188,95827,65733,296875,9802,811044,55,810924,70.69
2020,1,Corrientes,72,527,33479,21382,26679,7351,19467,4780,113967,3,113737,38.73
2020,1,Entre Ríos,130,4081,72280,47132,41125,11988,39794,13762,231833,13,230292,56.12
2020,1,Formosa,1127,342,23761,6500,6564,964,6918,100,46434,0,46276,30.23
2020,1,Jujuy,55,182,33120,9979,26693,166,7349,16545,91665,0,94089,46.67
2020,1,La Pampa,293,811,72740,7199,3029,1342,2113,1618,89110,116,89145,75.77
2020,1,La Rioja,21,1,37209,5158,4640,22,1294,0,48337,3,48345,46.35
2020,1,Mendoza,58,40,140410,12285,17489,2860,3818,0,182837,615,176960,33.14
2020,1,Misiones,71,524,36622,21271,26433,11581,26313,10885,133552,0,133700,39.02
2020,1,Neuquén,218,327,60152,5257,7123,5399,43738,0,121354,373,122214,61.85
2020,1,Río Negro,114,466,69154,2930,7857,3199,25488,17719,125699,501,126927,55.12
2020,1,Salta,129,514,38537,63714,17991,8625,34744,6441,170379,2,170695,49.6
2020,1,San Juan,48,194,59787,1594,1292,40,127,4779,63975,256,67861,32.39
2020,1,San Luis,105,0,11322,4164,525,58258,5,36075,110404,148,110454,76.31
2020,1,Santa Cruz,67,11,27447,4993,5169,529,119,0,38625,197,38335,35.97
2020,1,Santa Fe,696,2994,217553,196826,104560,48448,173823,17656,770981,137,762556,69.52
2020,1,Santiago Del Estero,133,1779,33086,56884,3737,135,2799,4501,102754,1,103054,42.47
2020,1,Tierra Del Fuego,11,1,22976,5024,1834,196,518,7046,38505,289,37606,76.07
2020,1,Tucumán,52,97,49555,50383,31096,1730,67536,0,200045,22,200449,47.85
2019,4,Buenos Aires,33489,27537,1177446,262297,247106,452570,1465133,20676,3681120,5134,3686254,64.25
2019,4,Capital Federal,307,15,177098,110218,110852,205810,753805,0,1356695,1410,1358105,106.25
2019,4,Catamarca,63,0,9945,7619,9305,804,7477,3098,38310,1,38311,36.44
2019,4,Chaco,83,0,25899,18959,30902,13516,21556,6988,117900,3,117903,36.84
2019,4,Chubut,158,4,69405,12945,7615,1240,614,4121,95292,810,96102,51.15
2019,4,Córdoba,142,0,232781,118232,109330,114111,221742,10350,806633,55,806688,70.48
2019,4,Corrientes,72,0,35055,20620,27367,9981,15744,4995,113831,3,113834,38.77
2019,4,Entre Ríos,47,0,88203,44511,42962,18976,30153,14178,239017,13,239030,57.99
2019,4,Formosa,1127,191,24606,6319,6788,1766,5671,243,46711,0,46711,30.47
2019,4,Jujuy,55,0,32920,9632,26764,102,5286,14122,88881,0,88881,45.38
2019,4,La Pampa,293,313,76747,6900,1951,1287,1342,1566,90280,119,90399,76.92
2019,4,La Rioja,21,0,37846,5045,4763,22,1305,0,48999,3,49002,47.14
2019,4,Mendoza,746,9,145139,12955,15237,2165,2628,6901,185157,623,185780,33.65
2019,4,Misiones,71,0,39664,20840,27305,15626,20799,11508,135813,0,135813,39.79
2019,4,Neuquén,218,1,57370,4439,7357,12059,35001,0,116069,376,116445,59.36
2019,4,Río Negro,114,0,71847,2797,8558,6968,19837,17019,126636,504,127140,55.71
2019,4,Salta,149,1,42159,67656,15369,14170,25821,7120,172443,2,172445,50.35
2019,4,San Juan,48,1,60626,1594,1292,40,127,1246,64715,259,64974,32.85
2019,4,San Luis,105,0,11901,4164,525,55216,3,36287,108053,148,108201,74.92
2019,4,Santa Cruz,67,0,32368,4346,2224,7,8,350,39170,200,39370,36.71
2019,4,Santa Fe,698,0,230234,190664,113527,70998,135576,27472,769019,150,769169,69.48
2019,4,Santiago Del Estero,133,908,34911,56309,3756,105,2449,5017,103587,1,103588,42.92
2019,4,Tierra Del Fuego,11,0,23593,5050,1848,139,1962,7789,40101,291,40392,79.7
2019,4,Tucumán,55,0,54544,52017,28916,6405,56707,0,198621,23,198644,47.65
2019,3,Buenos Aires,238920,44648,1432722,222812,260506,483572,1246209,42294,3950114,10119,3971683,69.36
